label,category,UUID,URI
Husby- Scott,conservators - conservator,12a5a77f-4e9a-49f6-83c3-edf18fc3b1be,http://w3id.org/bod-vocabs/12a5a77f-4e9a-49f6-83c3-edf18fc3b1be
Iklé- Geneva,conservators - conservator,dbb14974-bb3e-4a7c-afec-a9eddfc9e040,http://w3id.org/bod-vocabs/dbb14974-bb3e-4a7c-afec-a9eddfc9e040
Immediata- Annie,conservators - conservator,922651be-69ef-4d36-93bc-eb1056cbd2de,http://w3id.org/bod-vocabs/922651be-69ef-4d36-93bc-eb1056cbd2de
Jang- Eunji,conservators - conservator,cdddf44e-86b9-4841-b076-e8cd25d293c0,http://w3id.org/bod-vocabs/cdddf44e-86b9-4841-b076-e8cd25d293c0
Joyner- Chloe,conservators - conservator,269699d2-95a4-40d2-b53e-958a4047fe67,http://w3id.org/bod-vocabs/269699d2-95a4-40d2-b53e-958a4047fe67
Karnes- Cyntia,conservators - conservator,b4d97720-3622-4736-88e0-454513757b92,http://w3id.org/bod-vocabs/b4d97720-3622-4736-88e0-454513757b92
Keister- Megan,conservators - conservator,667d9895-ec17-4626-9040-8ed8d7752711,http://w3id.org/bod-vocabs/667d9895-ec17-4626-9040-8ed8d7752711
Kelly- Katherine,conservators - conservator,0a4f7f24-78bc-4d2a-aa7d-480809a4607d,http://w3id.org/bod-vocabs/0a4f7f24-78bc-4d2a-aa7d-480809a4607d
Khan- Yasmeen,conservators - conservator,fdbcc0be-8b66-401c-a80c-7268facd3f24,http://w3id.org/bod-vocabs/fdbcc0be-8b66-401c-a80c-7268facd3f24
Kidder- Lynn,conservators - conservator,391c4921-c1ba-4693-bd55-c9bbbfa6fc04,http://w3id.org/bod-vocabs/391c4921-c1ba-4693-bd55-c9bbbfa6fc04
Kinsky- Bailey,conservators - conservator,dcf0316b-1052-43a8-bf3e-68b08f8ff2ad,http://w3id.org/bod-vocabs/dcf0316b-1052-43a8-bf3e-68b08f8ff2ad
Kitamura- Mari,conservators - conservator,654774e8-c21c-474e-9b9b-65f0ed079386,http://w3id.org/bod-vocabs/654774e8-c21c-474e-9b9b-65f0ed079386
Knight- Evan,conservators - conservator,ee5aedac-0598-4131-b2c6-9f7c0888dc87,http://w3id.org/bod-vocabs/ee5aedac-0598-4131-b2c6-9f7c0888dc87
Krueger- Holly,conservators - conservator,3da2d462-b7a7-4c2b-8391-b7fc3e63dbc5,http://w3id.org/bod-vocabs/3da2d462-b7a7-4c2b-8391-b7fc3e63dbc5
Lev-Alexander- Nancy,conservators - conservator,7f70cb4e-a40c-45bc-94ae-891716ac2217,http://w3id.org/bod-vocabs/7f70cb4e-a40c-45bc-94ae-891716ac2217
Lewis- Jennifer,conservators - conservator,13c6191c-72ac-4152-bd81-3630bf6f744b,http://w3id.org/bod-vocabs/13c6191c-72ac-4152-bd81-3630bf6f744b
Long- Zachary,conservators - conservator,44f32d0f-d385-4c88-9792-b54148209e3a,http://w3id.org/bod-vocabs/44f32d0f-d385-4c88-9792-b54148209e3a
Lundgren- Adrienne,conservators - conservator,f686d579-eba8-41bb-95e5-9a956354fbb9,http://w3id.org/bod-vocabs/f686d579-eba8-41bb-95e5-9a956354fbb9
Magee- Cathie,conservators - conservator,75284a75-ce39-4ab6-bd58-4e5481b8db89,http://w3id.org/bod-vocabs/75284a75-ce39-4ab6-bd58-4e5481b8db89
Maliga- Natalia,conservators - conservator,fcd2b05f-02e2-4c8f-8a77-4757d0fa5b02,http://w3id.org/bod-vocabs/fcd2b05f-02e2-4c8f-8a77-4757d0fa5b02
McNeal- Carrie,conservators - conservator,fafdfc24-79c9-44b5-894e-ba3d0a7d50f1,http://w3id.org/bod-vocabs/fafdfc24-79c9-44b5-894e-ba3d0a7d50f1
Moberg- Lisa,conservators - conservator,953ba43a-3043-4f22-afa4-66f32ad739b6,http://w3id.org/bod-vocabs/953ba43a-3043-4f22-afa4-66f32ad739b6
Morrison-Danzis- Kate,conservators - conservator,24797cb4-9485-4d4f-9476-d94b6dd5b311,http://w3id.org/bod-vocabs/24797cb4-9485-4d4f-9476-d94b6dd5b311
Nalaskowska- Marta,conservators - conservator,28b86792-fe57-4670-83e8-a149908bdd50,http://w3id.org/bod-vocabs/28b86792-fe57-4670-83e8-a149908bdd50
Nugent- Maria,conservators - conservator,eb062896-3ee4-4960-9a70-18164bf98d17,http://w3id.org/bod-vocabs/eb062896-3ee4-4960-9a70-18164bf98d17
Oey- Mary,conservators - conservator,be8e783c-dc30-4f7d-8e71-42456510bc8d,http://w3id.org/bod-vocabs/be8e783c-dc30-4f7d-8e71-42456510bc8d
Ohanyan- Tamara,conservators - conservator,e6d48ba9-a4da-40d0-a94a-73377db00db9,http://w3id.org/bod-vocabs/e6d48ba9-a4da-40d0-a94a-73377db00db9
Paterson- Dan,conservators - conservator,69c3b0f7-d529-4ca7-94a6-f2bc4a938f9a,http://w3id.org/bod-vocabs/69c3b0f7-d529-4ca7-94a6-f2bc4a938f9a
Peckham- Susan,conservators - conservator,06a4718c-969e-4de6-9b49-ef52f86d75d5,http://w3id.org/bod-vocabs/06a4718c-969e-4de6-9b49-ef52f86d75d5
Provino- Justine,conservators - conservator,3bda83ae-327a-4b7b-8133-398736ee1d4b,http://w3id.org/bod-vocabs/3bda83ae-327a-4b7b-8133-398736ee1d4b
Robb- Andrew,conservators - conservator,4952e9af-1461-4107-925c-f1f59d184273,http://w3id.org/bod-vocabs/4952e9af-1461-4107-925c-f1f59d184273
Smith- Shelly,conservators - conservator,023b43b4-68f8-4292-84be-88f043a94417,http://w3id.org/bod-vocabs/023b43b4-68f8-4292-84be-88f043a94417
Song- Minah,conservators - conservator,c927ba89-1003-49c1-8521-48f7eb98ff0a,http://w3id.org/bod-vocabs/c927ba89-1003-49c1-8521-48f7eb98ff0a
Spitzmueller- Pamela,conservators - conservator,d092f648-e30b-48de-aa0c-850a0faa5a79,http://w3id.org/bod-vocabs/d092f648-e30b-48de-aa0c-850a0faa5a79
Stiber-Morenus- Linda,conservators - conservator,da890a8f-a47e-4ad0-9a63-02416c8e75c3,http://w3id.org/bod-vocabs/da890a8f-a47e-4ad0-9a63-02416c8e75c3
Takeuchi- Masumi,conservators - conservator,087847b8-3d43-485b-8bf1-977e1b3babb5,http://w3id.org/bod-vocabs/087847b8-3d43-485b-8bf1-977e1b3babb5
Teringo- Dorothy,conservators - conservator,a883ae24-32a5-4f53-9483-a28ad0b9f346,http://w3id.org/bod-vocabs/a883ae24-32a5-4f53-9483-a28ad0b9f346
